,rmse,maxDepth,minInstancesPerNode
0,0.6886869217499977,1,1
1,0.6886869217499977,1,2
2,0.6886869217499977,1,3
3,0.6886869217499977,1,4
4,0.6886869217499977,1,5
5,0.6886869217499977,1,6
6,0.6886869217499977,1,7
7,0.6886869217499977,1,8
8,0.6388072405790097,2,1
9,0.6388072405790097,2,2
10,0.6388072405790097,2,3
11,0.6388072405790096,2,4
12,0.6388072405790097,2,5
13,0.6388072405790096,2,6
14,0.6388072405790097,2,7
15,0.6388072405790096,2,8
16,0.6082673534933726,3,1
17,0.6082673534933726,3,2
18,0.6082673534933726,3,3
19,0.6082673534933726,3,4
20,0.6082673534933726,3,5
21,0.6082673534933726,3,6
22,0.6082673534933726,3,7
23,0.6082673534933726,3,8
24,0.5928794552614941,4,1
25,0.5928794552614941,4,2
26,0.5928794552614941,4,3
27,0.5928794552614941,4,4
28,0.5928794552614941,4,5
29,0.5928794552614941,4,6
30,0.5928794552614941,4,7
31,0.5928794552614941,4,8
32,0.5788479864392732,5,1
33,0.5788479864392732,5,2
34,0.5796450721256483,5,3
35,0.5796792288781699,5,4
36,0.5796792288781698,5,5
37,0.5797015188279784,5,6
38,0.5796681341728368,5,7
39,0.5796681341728368,5,8
40,0.5695785150721216,6,1
41,0.5692767928312534,6,2
42,0.5694409183258906,6,3
43,0.5696115002117536,6,4
44,0.5689635979313185,6,5
45,0.5690123554876351,6,6
46,0.5685492567261603,6,7
47,0.5683322673437916,6,8
